LmjF.01	10000
LmjF.01	20000
LmjF.01	30000
LmjF.01	40000
LmjF.01	50000
LmjF.01	60000
LmjF.01	70000
LmjF.01	80000
LmjF.01	90000
LmjF.01	100000
LmjF.01	110000
LmjF.01	120000
LmjF.01	130000
LmjF.01	140000
LmjF.01	150000
LmjF.01	160000
LmjF.01	170000
LmjF.01	180000
LmjF.01	190000
LmjF.01	200000
LmjF.01	210000
LmjF.01	220000
LmjF.01	230000
LmjF.01	240000
LmjF.01	250000
LmjF.01	260000
LmjF.01	268988
LmjF.02	10000
LmjF.02	20000
LmjF.02	30000
LmjF.02	40000
LmjF.02	50000
LmjF.02	60000
LmjF.02	70000
LmjF.02	80000
LmjF.02	90000
LmjF.02	100000
LmjF.02	110000
LmjF.02	120000
LmjF.02	130000
LmjF.02	140000
LmjF.02	150000
LmjF.02	160000
LmjF.02	170000
LmjF.02	180000
LmjF.02	190000
LmjF.02	200000
LmjF.02	210000
LmjF.02	220000
LmjF.02	230000
LmjF.02	240000
LmjF.02	250000
LmjF.02	260000
LmjF.02	270000
LmjF.02	280000
LmjF.02	290000
LmjF.02	300000
LmjF.02	310000
LmjF.02	320000
LmjF.02	330000
LmjF.02	340000
LmjF.02	350000
LmjF.02	355712
