LmjF.01	10000
LmjF.01	20001
LmjF.01	30001
LmjF.01	40013
LmjF.01	50013
LmjF.01	60013
LmjF.01	70007
LmjF.01	80009
LmjF.01	90010
LmjF.01	100003
LmjF.01	109988
LmjF.01	119989
LmjF.01	129990
LmjF.01	139988
LmjF.01	149984
LmjF.01	159973
LmjF.01	169973
LmjF.01	179973
LmjF.01	189970
LmjF.01	199970
LmjF.01	209969
LmjF.01	219969
LmjF.01	229981
LmjF.01	239978
LmjF.01	249978
LmjF.01	259978
LmjF.01	268966
LmjF.02	10002
LmjF.02	20002
LmjF.02	29987
LmjF.02	39987
LmjF.02	49987
LmjF.02	59987
LmjF.02	69987
LmjF.02	79987
LmjF.02	89987
LmjF.02	99987
LmjF.02	109987
LmjF.02	119987
LmjF.02	129985
LmjF.02	139977
LmjF.02	149977
LmjF.02	159975
LmjF.02	169975
LmjF.02	179973
LmjF.02	189973
LmjF.02	199972
LmjF.02	209961
LmjF.02	219961
LmjF.02	229961
LmjF.02	239961
LmjF.02	249961
LmjF.02	259976
LmjF.02	269976
LmjF.02	279976
LmjF.02	289976
LmjF.02	299976
LmjF.02	309976
LmjF.02	319976
LmjF.02	329975
LmjF.02	339971
LmjF.02	349972
LmjF.02	355681
